2024-06-27 20:14:01,473 INFO    StreamThr :6274 [internal.py:wandb_internal():85] W&B internal server running at pid: 6274, started at: 2024-06-27 20:14:01.473412
2024-06-27 20:14:01,477 DEBUG   HandlerThread:6274 [handler.py:handle_request():158] handle_request: status
2024-06-27 20:14:01,478 INFO    WriterThread:6274 [datastore.py:open_for_write():87] open: /home/tzikos/Desktop/KULeuvenThesis/wandb/run-20240627_201400-evys5mvm/run-evys5mvm.wandb
2024-06-27 20:14:01,479 DEBUG   SenderThread:6274 [sender.py:send():379] send: header
2024-06-27 20:14:01,479 DEBUG   SenderThread:6274 [sender.py:send():379] send: run
2024-06-27 20:14:02,660 INFO    SenderThread:6274 [dir_watcher.py:__init__():211] watching files in: /home/tzikos/Desktop/KULeuvenThesis/wandb/run-20240627_201400-evys5mvm/files
2024-06-27 20:14:02,660 INFO    SenderThread:6274 [sender.py:_start_run_threads():1188] run started: evys5mvm with start time 1719508440.711768
2024-06-27 20:14:02,673 DEBUG   HandlerThread:6274 [handler.py:handle_request():158] handle_request: check_version
2024-06-27 20:14:02,674 DEBUG   SenderThread:6274 [sender.py:send_request():406] send_request: check_version
2024-06-27 20:14:03,085 DEBUG   HandlerThread:6274 [handler.py:handle_request():158] handle_request: run_start
2024-06-27 20:14:03,086 DEBUG   HandlerThread:6274 [system_info.py:__init__():26] System info init
2024-06-27 20:14:03,086 DEBUG   HandlerThread:6274 [system_info.py:__init__():41] System info init done
2024-06-27 20:14:03,086 INFO    HandlerThread:6274 [system_monitor.py:start():194] Starting system monitor
2024-06-27 20:14:03,087 INFO    SystemMonitor:6274 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-27 20:14:03,088 INFO    HandlerThread:6274 [system_monitor.py:probe():214] Collecting system info
2024-06-27 20:14:03,089 INFO    SystemMonitor:6274 [interfaces.py:start():188] Started cpu monitoring
2024-06-27 20:14:03,090 INFO    SystemMonitor:6274 [interfaces.py:start():188] Started disk monitoring
2024-06-27 20:14:03,091 INFO    SystemMonitor:6274 [interfaces.py:start():188] Started gpu monitoring
2024-06-27 20:14:03,092 INFO    SystemMonitor:6274 [interfaces.py:start():188] Started memory monitoring
2024-06-27 20:14:03,093 INFO    SystemMonitor:6274 [interfaces.py:start():188] Started network monitoring
2024-06-27 20:14:03,099 DEBUG   HandlerThread:6274 [system_info.py:probe():152] Probing system
2024-06-27 20:14:03,100 DEBUG   HandlerThread:6274 [system_info.py:_probe_git():137] Probing git
2024-06-27 20:14:03,109 DEBUG   HandlerThread:6274 [system_info.py:_probe_git():145] Probing git done
2024-06-27 20:14:03,109 DEBUG   HandlerThread:6274 [system_info.py:probe():200] Probing system done
